service_id,date,exception_type
20220801daily,20220801,1
20220802daily,20220802,1
20220803daily,20220803,1
20220804daily,20220804,1
20220805daily,20220805,1
20220806daily,20220806,1
20220807daily,20220807,1
20220808daily,20220808,1
20220809daily,20220809,1
20220810daily,20220810,1
20220811daily,20220811,1
20220812daily,20220812,1
20220813daily,20220813,1
20220814daily,20220814,1
20220815daily,20220815,1
20220816daily,20220816,1
20222010multint,20220817,1
20222010multint,20220818,1
20222010multint,20220819,1
20223510multint,20220820,1
20223610multint,20220821,1
20223010multint,20220822,1
20223010multint,20220823,1
20223010multint,20220824,1
20223010multint,20220825,1
20223010multint,20220826,1
20223510multint,20220827,1
20223610multint,20220828,1
20223010multint,20220829,1
20223010multint,20220830,1
20223010multint,20220831,1
20223010multint,20220901,1
20223010multint,20220902,1
20223510multint,20220903,1
20223610multint,20220904,1
20223610multint,20220905,1
20223010multint,20220906,1
20223010multint,20220907,1
20223010multint,20220908,1
20223010multint,20220909,1
20223510multint,20220910,1
20223610multint,20220911,1
20223010multint,20220912,1
20223010multint,20220913,1
20223010multint,20220914,1
20223010multint,20220915,1
20223010multint,20220916,1
20223510multint,20220917,1
20223610multint,20220918,1
20223010multint,20220919,1
20223010multint,20220920,1
20223010multint,20220921,1
20223010multint,20220922,1
20223010multint,20220923,1
20223510multint,20220924,1
20223610multint,20220925,1
20223010multint,20220926,1
20223010multint,20220927,1
20223010multint,20220928,1
20223010multint,20220929,1
20223010multint,20220930,1
20223510multint,20221001,1
20223610multint,20221002,1
20223010multint,20221003,1
20223010multint,20221004,1
20223010multint,20221005,1
20223010multint,20221006,1
20223010multint,20221007,1
20223510multint,20221008,1
20223610multint,20221009,1
20223511multint,20221010,1
20223010multint,20221011,1
20223010multint,20221012,1
20223010multint,20221013,1
20223010multint,20221014,1
20223510multint,20221015,1
20223610multint,20221016,1
20223010multint,20221017,1
20223010multint,20221018,1
20223010multint,20221019,1
20223010multint,20221020,1
20223010multint,20221021,1
20223510multint,20221022,1
20223610multint,20221023,1
20223010multint,20221024,1
20223010multint,20221025,1
20223010multint,20221026,1
20223010multint,20221027,1
20223010multint,20221028,1
20223510multint,20221029,1
20223610multint,20221030,1
20223010multint,20221031,1
20223010multint,20221101,1
20223010multint,20221102,1
20223010multint,20221103,1
20223010multint,20221104,1
20223510multint,20221105,1
20223610multint,20221106,1
20223010multint,20221107,1
20223010multint,20221108,1
20223010multint,20221109,1
20223010multint,20221110,1
20223010multint,20221111,1
20223510multint,20221112,1
20223610multint,20221113,1
20223010multint,20221114,1
20223010multint,20221115,1
20223010multint,20221116,1
20223010multint,20221117,1
20223010multint,20221118,1
20223510multint,20221119,1
20223610multint,20221120,1
20223010multint,20221121,1
20223010multint,20221122,1
20223010multint,20221123,1
20223010multint,20221124,1
20223010multint,20221125,1
